"projectID";"topic";"title"
"101004255";"SU-SPACE-EGNSS-3-2019-2020";"EGNSS applications fostering societal resilience and protecting the environment"
"821969";"SPACE-10-TEC-2018-2020";"Technologies for European non-dependence and competitiveness"
"735091";"SMEInst-02-2016-2017";"Accelerating the uptake of nanotechnologies advanced materials or advanced manufacturing and processing technologies by SMEs"
"774211";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"693928";"ICT-37-2015";"Open Disruptive Innovation Scheme (implemented through the SME instrument)"
"850104";"EIC-SMEInst-2018-2020";"SME instrument"
"889360";"EIC-SMEInst-2018-2020";"SME instrument"
"887490";"EIC-SMEInst-2018-2020";"SME instrument"
"726788";"SMEInst-02-2016-2017";"Accelerating the uptake of nanotechnologies advanced materials or advanced manufacturing and processing technologies by SMEs"
"867163";"EIC-SMEInst-2018-2020";"SME instrument"
"889991";"EIC-SMEInst-2018-2020";"SME instrument"
"868390";"EIC-SMEInst-2018-2020";"SME instrument"
"741904";"ERC-2016-ADG";"ERC Advanced Grant"
"739705";"INNOSUP-02-2016";"European SME innovation Associate - pilot"
"869991";"DT-FOF-06-2019";"Refurbishment and re-manufacturing of large industrial equipment (IA)"
"641302";"ERC-PoC-2014";"ERC Proof of Concept Grant"
"644182";"ICT-07-2014";"Advanced Cloud Infrastructures and Services"
"783594";"SMEInst-06-2016-2017";"Accelerating market introduction of ICT solutions for Health, Well-Being and Ageing Well"
"723945";"FOF-13-2016";"Photonics Laser-based production"
"772989";"ERC-2017-COG";"ERC Consolidator Grant"
"714729";"ERC-2016-STG";"ERC Starting Grant"
"689043";"PHC-28-2015";"Self management of health and disease and decision support systems based on predictive computer modelling used by the patient him or herself"
"727227";"ERC-PoC-2016";"ERC-Proof of Concept-2016"
"730165";"COMPET-1-2016";"Technologies for European non-dependence and competitiveness"
"679305";"ERC-StG-2015";"ERC Starting Grant"
"828439";"EIC-SMEInst-2018-2020";"SME instrument"
"945010";"EIC-SMEInst-2018-2020";"SME instrument"
"850370";"EIC-SMEInst-2018-2020";"SME instrument"
"946009";"FETOPEN-03-2018-2019-2020";"FET Innovation Launchpad"
"694452";"ERC-ADG-2015";"ERC Advanced Grant"
"873120";"MSCA-RISE-2019";"Research and Innovation Staff Exchange"
"768892";"FOF-12-2017";"ICT Innovation for Manufacturing SMEs (I4MS)"
"821169";"JTI-CS2-2017-CfP07-SYS-03-16";"Aircraft mission modelling: ground and flight operations"
"657441";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"700986";"FTIPilot-1-2015";"Fast Track to Innovation Pilot"
"673413";"DRS-17-2014-1";"Critical infrastructure protection topic 7: SME instrument topic: “Protection of Urban soft targets and urban critical infrastructures”"
"824256";"LC-GV-02-2018";"Virtual product development and production of all types of electrified vehicles and components"
"855610";"EIC-SMEInst-2018-2020";"SME instrument"
"755383";"ERC-PoC-2016";"ERC-Proof of Concept-2016"
"780537";"ICT-30-2017";"Photonics KET 2017"
"781170";"SMEInst-09-2016-2017";"Stimulating the innovation potential of SMEs for a low carbon and efficient energy system"
"739013";"SMEInst-02-2016-2017";"Accelerating the uptake of nanotechnologies advanced materials or advanced manufacturing and processing technologies by SMEs"
"835681";"EIC-SMEInst-2018-2020";"SME instrument"
"890000";"EIC-SMEInst-2018-2020";"SME instrument"
"830965";"EIC-FTI-2018-2020";"Fast Track to Innovation (FTI)"
"871932";"ICT-24-2018-2019";"Next Generation Internet - An Open Internet Initiative"
"861876";"INNOSUP-02-2019-2020";"European SME innovation Associate - pilot"
"101034788";"FETOPEN-03-2018-2019-2020";"FET Innovation Launchpad"
"687312";"COMPET-05-2015";"Scientific exploitation of astrophysics, comets, and planetary data"
"796135";"MSCA-IF-2017";"Individual Fellowships"
"673990";"ICT-37-2014";"Open Disruptive Innovation Scheme (implemented through the SME instrument)"
"887927";"EIC-SMEInst-2018-2020";"SME instrument"
"692726";"ERC-ADG-2015";"ERC Advanced Grant"
"710384";"ICT-37-2015";"Open Disruptive Innovation Scheme (implemented through the SME instrument)"
"647295";"ERC-CoG-2014";"ERC Consolidator Grant"
"681405";"ERC-CoG-2015";"ERC Consolidator Grant"
"744126";"SMEInst-06-2016-2017";"Accelerating market introduction of ICT solutions for Health, Well-Being and Ageing Well"
"751159";"MSCA-IF-2016";"Individual Fellowships"
"788195";"ERC-2017-ADG";"ERC Advanced Grant"
"956394";"MSCA-ITN-2020";"Innovative Training Networks"
"821466";"JTI-CS2-2017-CfP07-LPA-03-13";"Design and development of smart sensors for detection of human cognitive states implementable in cockpit environment"
"710137";"SIE-01-2015-1";"Stimulating the innovation potential of SMEs for a low carbon energy system"
"862195";"NMBP-15-2019";"Safe by design, from science to regulation: metrics and main sectors (RIA)"
"957488";"ERC-2020-POC";"Call for proposals for ERC Proof of Concept Grant"
"755037";"ERC-PoC-2016";"ERC-Proof of Concept-2016"
"664078";"ICT-37-2014-1";"Open Disruptive Innovation Scheme (implemented through the SME instrument)"
"795218";"MSCA-IF-2017";"Individual Fellowships"
"821277";"JTI-CS2-2017-CfP07-LPA-02-22";"Development of a full size automated plant system for fuselage longitudinal and circumferential joints"
"673780";"PHC-12-2014";"Clinical research for the validation of biomarkers and/or diagnostic medical devices"
"738377";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"884142";"EIC-SMEInst-2018-2020";"SME instrument"
"868895";"EIC-SMEInst-2018-2020";"SME instrument"
"868378";"EIC-SMEInst-2018-2020";"SME instrument"
"726878";"SMEInst-06-2016-2017";"Accelerating market introduction of ICT solutions for Health, Well-Being and Ageing Well"
"719985";"ICT-37-2015-1";"Open Disruptive Innovation Scheme (implemented through the SME instrument)"
"684082";"ICT-37-2015-1";"Open Disruptive Innovation Scheme (implemented through the SME instrument)"
"751823";"MSCA-IF-2016";"Individual Fellowships"
"827362";"EIC-SMEInst-2018-2020";"SME instrument"
"714797";"ERC-2016-STG";"ERC Starting Grant"
"860843";"MSCA-ITN-2019";"Innovative Training Networks"
"738295";"SMEInst-10-2016-2017";"Small business innovation research for Transport and Smart Cities Mobility"
"743173";"SMEInst-09-2016-2017";"Stimulating the innovation potential of SMEs for a low carbon and efficient energy system"
"748328";"MSCA-IF-2016";"Individual Fellowships"
"959492";"EIC-SMEInst-2018-2020";"SME instrument"
"654404";"INFRASUPP-6-2014";"International cooperation for research infrastructures"
"101007599";"INFRAIA-02-2020";"Integrating Activities for Starting Communities"
"675806";"MSCA-ITN-2015-ETN";"Marie Skłodowska-Curie Innovative Training Networks (ITN-ETN)"
"810370";"ERC-2018-SyG";"ERC Synergy Grant"
"782683";"SMEInst-10-2016-2017";"Small business innovation research for Transport and Smart Cities Mobility"
"810367";"ERC-2018-SyG";"ERC Synergy Grant"
"705938";"MSCA-IF-2015-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"836279";"EIC-SMEInst-2018-2020";"SME instrument"
"817378";"EIC-SMEInst-2018-2020";"SME instrument"
"968187";"EIC-SMEInst-2018-2020";"SME instrument"
"793660";"MSCA-IF-2017";"Individual Fellowships"
"889350";"EIC-SMEInst-2018-2020";"SME instrument"
"854157";"EIC-SMEInst-2018-2020";"SME instrument"
"768338";"ERC-2017-PoC";"ERC-Proof of Concept"
"679651";"ERC-StG-2015";"ERC Starting Grant"
"958231";"CE-NMBP-42-2020";"Materials life cycle sustainability analysis"
"782515";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"768278";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"781851";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"101000169";"LC-SC3-B4E-10-2020";"Self-assessment and self-optimisation of buildings and appliances for a better energy performance"
"101002507";"ERC-2020-COG";"ERC CONSOLIDATOR GRANTS"
"778586";"SMEInst-05-2016-2017";"Supporting innovative SMEs in the healthcare biotechnology sector"
"659227";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"851835";"FETOPEN-03-2018-2019-2020";"FET Innovation Launchpad"
"699204";"ICT-37-2015-1";"Open Disruptive Innovation Scheme (implemented through the SME instrument)"
"847378";"FETOPEN-03-2018-2019-2020";"FET Innovation Launchpad"
"671571";"FETHPC-1-2014";"HPC Core Technologies, Programming Environments and Algorithms for Extreme Parallelism and Extreme Data Applications"
"875834";"EIC-SMEInst-2018-2020";"SME instrument"
"867344";"EIC-SMEInst-2018-2020";"SME instrument"
"839255";"MSCA-IF-2018";"Individual Fellowships"
"811764";"EIC-SMEInst-2018-2020";"SME instrument"
"673627";"DRS-17-2014-1";"Critical infrastructure protection topic 7: SME instrument topic: “Protection of Urban soft targets and urban critical infrastructures”"
"815956";"EIC-SMEInst-2018-2020";"SME instrument"
"702287";"MSCA-IF-2015-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"731885";"ICT-21-2016";"Support technology transfer to the creative industries"
"742746";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"856071";"EIC-SMEInst-2018-2020";"SME instrument"
"857156";"SU-ICT-04-2019";"Quantum Key Distribution testbed"
"659722";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"710770";"DRS-17-2015-1";"Critical infrastructure protection topic 7: SME instrument topic: Protection of Urban soft targets and critical infrastructures"
"821878";"SPACE-15-TEC-2018";"Satellite communication technologies"
"812997";"MSCA-ITN-2018";"Innovative Training Networks"
"893456";"MSCA-IF-2019";"Individual Fellowships"
"694126";"ERC-ADG-2015";"ERC Advanced Grant"
"770827";"ERC-2017-COG";"ERC Consolidator Grant"
"739408";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"824079";"INFRAEOSC-01-2018";"Access to commercial services through the EOSC hub"
"684092";"INSO-9-2015";"Innovative mobile e-government applications by SMEs"
